Type,Name,Number Build,SKU,Description,Short Description,Description Status,Categories,Tags,Brands,Vendor,Images,Image Info,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,meta_sds_map,meta_tds_map
simple,Tremclad Rust Paint Gloss Black,186,TR-000000186,,"Tremclad Rust Paint Gloss Black protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintglossblack_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Paint Flat Black,187,TR-000000187,,"Tremclad Rust Paint Flat Black protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintflatblack_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Paint Gloss Aluminum,188,TR-000000188,,"Tremclad Rust Paint Gloss Aluminum protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintglossaluminum_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Preventative Coating Flat Grey (Gallon),189,TR-000000189,,"Tremclad Rust Preventative Coating Flat Grey (Gallon) protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpreventativecoatingflatgreygallon_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Preventative Coating Flat Red Oxide (Gallon),190,TR-000000190,,"Tremclad Rust Preventative Coating Flat Red Oxide (Gallon) protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpreventativecoatingflatredoxidegallon_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Zinsser Mould Stop Primer,191,ZI-000000191,,"Zinsser Mould Stop Primer helps prime surfaces while blocking mould and mildew growth, creating a better base for interior or exterior topcoats. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Paints > Primers,"primer, water-based, multi-surface",Zinsser,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/zinssermouldstopprimer_primer_zinsser.png?raw=true,Image already existed,,,,,,,,,,
simple,Zinsser Bulls Eye 1-2-3 Spray Primer,192,ZI-000000192,,"Zinsser Bulls Eye 1-2-3 Spray Primer helps seal surfaces, block stains and improve topcoat adhesion so paint finishes look smoother and last longer. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Paints > Aerosols,"primer, spray, sealer",Zinsser,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/zinsserbullseye123sprayprimer_primer_zinsser.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Preventative Coating Flat Grey (946 mL),193,TR-000000193,,"Tremclad Rust Preventative Coating Flat Grey (946 mL) protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpreventativecoatingflatgrey946ml_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Preventative Coating Flat Red Oxide (946 mL),194,TR-000000194,,"Tremclad Rust Preventative Coating Flat Red Oxide (946 mL) protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpreventativecoatingflatredoxide946ml_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Zinsser Odorless Oil-Based Stain Blocker,195,ZI-000000195,,"Zinsser Odorless Oil-Based Stain Blocker helps seal surfaces, block stains and improve topcoat adhesion so paint finishes look smoother and last longer. Colour and sheen can vary with wood species, porosity and preparation, so a representative test area is recommended. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Primers,"primer, oil-based, stain blocking",Zinsser,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/zinsserodorlessoilbasedstainblocker_primer_zinsser.png?raw=true,Image already existed,,,,,,,,,,
simple,Zinsser Bulls Eye 1-2-3 Primer Grey,196,ZI-000000196,,"Zinsser Bulls Eye 1-2-3 Primer Grey helps seal surfaces, block stains and improve topcoat adhesion so paint finishes look smoother and last longer. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Paints > Primers,"primer, water-based, multi-surface",Zinsser,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/zinsserbullseye123primergrey_primer_zinsser.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Paint Flat Leather Brown,197,TR-000000197,,"Tremclad Rust Paint Flat Leather Brown protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintflatleatherbrown_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Paint Gloss Green,198,TR-000000198,,"Tremclad Rust Paint Gloss Green protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintglossgreen_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Tremclad Rust Paint Gloss White,199,TR-000000199,,"Tremclad Rust Paint Gloss White protects metal from rust while adding a durable finish, making it a strong choice for railings, tools, equipment and exterior metal surfaces. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Specialty Paints,"rust paint, metal protection, oil-based",Tremclad,FLE01-S,https://github.com/GZToronto/steeles/blob/923e7ffbe26adb9165929e2f142654a274e7796b/tremcladrustpaintglosswhite_specialtypaint_tremclad.png?raw=true,Image already existed,,,,,,,,,,
simple,Blue Dolphin Axis APT Advanced Washi Painter's Tape 36mm (3 Pack),200,BD-000000201,,"Blue Dolphin Axis APT Advanced Washi Painter's Tape 36mm (3 Pack) is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"painters tape, masking tape, washi tape, blue dolphin, axis apt",Blue Dolphin,PIN02-S,https://github.com/GZToronto/steeles/blob/66c78bb3ead6d6adf731f693f63131345e4d17a0/axisaptadvancedwashipainterstape36mm3pack_painttoolsaccessories_bluedolphin.png?raw=true,Image already existed,,,,,,,,,,
simple,Blue Dolphin Axis APT Advanced Washi Painter's Tape 48mm x 50m,201,BD-000000202,,"Blue Dolphin Axis APT Advanced Washi Painter's Tape 48mm x 50m is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"painters tape, masking tape, washi tape, blue dolphin, axis apt",Blue Dolphin,PIN02-S,https://github.com/GZToronto/steeles/blob/13c1fb2b02f7e0f6d7a84e6f93d2c51a01c2b1fd/axisaptadvancedwashipainterstape48mmx50m_painttoolsaccessories_bluedolphin.png?raw=true,Image already existed,,,,,,,,,,
simple,Blue Dolphin Axis APT Advanced Washi Painter's Tape 36mm x 50m,202,BD-000000203,,"Blue Dolphin Axis APT Advanced Washi Painter's Tape 36mm x 50m is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"painters tape, masking tape, washi tape, blue dolphin, axis apt",Blue Dolphin,PIN02-S,https://github.com/GZToronto/steeles/blob/7c15bf375ce4c51932f626ca86422a3d0f101702/axisaptadvancedwashipainterstape36mmx50m_painttoolsaccessories_bluedolphin.png?raw=true,Image already existed,,,,,,,,,,
simple,Blue Dolphin Axis APT Advanced Washi Painter's Tape 24mm x 50m,203,BD-000000204,,"Blue Dolphin Axis APT Advanced Washi Painter's Tape 24mm x 50m is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"painters tape, masking tape, washi tape, blue dolphin, axis apt",Blue Dolphin,PIN02-S,https://github.com/GZToronto/steeles/blob/d9d1c4120e2daedc4f33648a0e6c159a30533108/axisaptadvancedwashipainterstape24mmx50m_painttoolsaccessories_bluedolphin.png?raw=true,Image already existed,,,,,,,,,,
simple,Everlok Extension Pole 3 ft to 6 ft,204,EV-000000205,,"Everlok Extension Pole 3 ft to 6 ft extends your reach for painting walls, ceilings, and hard-to-access areas, featuring a comfortable foam grip and a secure locking mechanism for reliable, twist-free performance. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"extension pole, paint pole, everlok, roller pole",Everlok,PIN02-S,https://github.com/GZToronto/steeles/blob/c53be377226833916e8c3deae9fe05f76d24f2e3/everlokextensionpole3ftto6ft_painttoolsaccessories_everlok.png?raw=true,Image already existed,,,,,,,,,,
simple,Everlok Extension Pole 2 ft to 4 ft,205,EV-000000206,,"Everlok Extension Pole 2 ft to 4 ft extends your reach for painting walls, ceilings, and hard-to-access areas, featuring a comfortable foam grip and a secure locking mechanism for reliable, twist-free performance. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"extension pole, paint pole, everlok, roller pole",Everlok,PIN02-S,https://github.com/GZToronto/steeles/blob/61cde1d3298058666879e4dd75d0a6607f9c2c34/everlokextensionpole2ftto4ft_painttoolsaccessories_everlok.png?raw=true,Image already existed,,,,,,,,,,
simple,Pintar Heavy Duty Pro 5-Wire 9.5 Roller Frame,206,PI-000000207,,"Pintar 4 Inch Roller Frame provides a sturdy, comfortable grip and secure roller support for smooth, controlled paint application on trim, doors, cabinets, and other smaller surfaces. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"roller frame, mini roller frame, painting tools",Pintar,PIN02-S,https://github.com/GZToronto/steeles/blob/9d4165493fdb75315e8fdea671a71732183d555c/pintar4inchrollerframe_painttoolsaccessories_pintar.png?raw=true,Image already existed,,,,,,,,,,
simple,Everlok Extension Pole 1 ft to 2 ft,207,EV-000000208,,"Everlok Extension Pole 1 ft to 2 ft extends your reach for painting walls, ceilings, and hard-to-access areas, featuring a comfortable foam grip and a secure locking mechanism for reliable, twist-free performance. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"extension pole, paint pole, everlok, roller pole",Everlok,PIN02-S,https://github.com/GZToronto/steeles/blob/bc0bb98e4b915eb75ee2f4be4f07b97dd18f1e7e/everlokextensionpole1ftto2ft_painttoolsaccessories_everlok.png?raw=true,Image already existed,,,,,,,,,,
simple,Everlok Extension Pole 4 ft to 8 ft,208,EV-000000209,,"Everlok Extension Pole 4 ft to 8 ft extends your reach for painting walls, ceilings, and hard-to-access areas, featuring a comfortable foam grip and a secure locking mechanism for reliable, twist-free performance. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"extension pole, paint pole, everlok, roller pole",Everlok,PIN02-S,https://github.com/GZToronto/steeles/blob/bdd3c8474b38c8dbdb7dacff8f9ad64bd4ac1de8/everlokextensionpole4ftto8ft_painttoolsaccessories_everlok.png?raw=true,Image already existed,,,,,,,,,,
simple,"Pintar Soft Grip Heavy Duty 9.5"" Roller Frame",209,PI-000000210,,"Pintar Soft Grip Heavy Duty 9.5"" Roller Frame provides a comfortable grip and sturdy roller support for smooth, controlled paint application across walls, ceilings, and other large surfaces. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"roller frame, wire cage frame, painting tools",Pintar,PIN02-S,https://github.com/GZToronto/steeles/blob/dfdf3d321713fd6c0be324926edbbc1a41b9aaa9/wirecagerollerframe_painttoolsaccessories_pintar.png?raw=true,Image already existed,,,,,,,,,,
simple,"Pintar Lint-Free Trim Roller 4""",210,PI-000000211,,"Pintar Lint-Free Trim Roller 4"" delivers a smooth, lint-free finish on trim, doors, cabinets, and other detailed surfaces, helping achieve clean, professional-quality paint results. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"roller cover, mini roller, paint roller cover",Pintar,PIN02-S,https://github.com/GZToronto/steeles/blob/eb093926ecfaccae109a75edaa81b1f19ca9eb16/minirollercover_painttoolsaccessories_pintar.png?raw=true,Image already existed,,,,,,,,,,
simple,Advance Equipment Vinyl Wallcovering Trimmer,211,AE-000000212,,"Vinyl Wallcovering Trimmer is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"wallpaper tools, vinyl trimmer, wallcovering trimmer, wallpaper installation, trimming tool",Advance Equipment,ADV01-S,https://github.com/GZToronto/steeles/blob/65cf06a9a8c701a5c484d816423b242b1d48c6e2/vinylwallcoveringtrimmer_painttoolsaccessories_advanceequipment.png?raw=true,Image already existed,,,,,,,,,,
simple,Advance Equipment Qwikpaster Tabletop Pasting Machine,212,AE-000000213,,"Qwikpaster Tabletop Pasting Machine is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"wallpaper tools, pasting machine, qwikpaster, wallpaper adhesive, wallcovering installation",Advance Equipment,ADV01-S,https://github.com/GZToronto/steeles/blob/5a092c6fe8fad00cc4085237b4766c0a2c69bd69/qwikpastertabletoppastingmachine_painttoolsaccessories_advanceequipment.png?raw=true,Image already existed,,,,,,,,,,
simple,Advance Equipment Pasting Syringe,213,AE-000000214,,"Pasting Syringe is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"pasting syringe, wallpaper repair, seam repair, wallpaper adhesive, wallcovering tools",Advance Equipment,ADV01-S,https://github.com/GZToronto/steeles/blob/3607d91364c7cf30e8ed7753789a59f7a84eeb12/pastingsyringe_painttoolsaccessories_advanceequipment.png?raw=true,Image already existed,,,,,,,,,,
simple,Advance Equipment Plastic Corner Roller,214,AE-000000215,,"Plastic Corner Roller is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"corner roller, wallpaper roller, seam roller, wallcovering tools, wallpaper installation",Advance Equipment,ADV01-S,https://github.com/GZToronto/steeles/blob/cb7e588e950816b4647b2fe3a5277053c140a4d5/plasticcornerroller_painttoolsaccessories_advanceequipment.png?raw=true,Image already existed,,,,,,,,,,
simple,Advance Equipment Corner Bead Applicator,215,AE-000000216,,"Corner Bead Applicator is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Choose the listed size for the surface and coating, then clean or dispose of the applicator according to current product guidance.",Previously Described,Painting Tools & Accessories > Tools,"corner bead applicator, drywall tools, mud application, corner bead, finishing tools",Advance Equipment,ADV01-S,https://github.com/GZToronto/steeles/blob/cb862432819e1130ea89e94a73e5277a39f5cf7a/cornerbeadapplicator_painttoolsaccessories_advanceequipment.png?raw=true,Image already existed,,,,,,,,,,
simple,Saman Oil Based Hybrid Floor Varnish ,226,SA-000000227,,"Saman Oil Based Hybrid Floor Varnish - Semi-Gloss is a protective varnish designed to provide durable protection and a long-lasting finish for wood surfaces. The master lists Flat, Semi-Gloss, or Gloss finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"oil based varnish, hybrid varnish, floor varnish, semi-gloss finish",Saman,SAMAN,https://github.com/GZToronto/steeles/blob/1c9a7f6e4ede67cee52671737fde7a3cd8871c40/samanoilbasedhybridfloorvarnishsemigloss_stains_saman.png?raw=true,Image already existed,Finishes,Flat | Semi-Gloss | Gloss,,,,,,,,
simple,Saman Water-Based Wood Stain - Urban Grey,228,SA-000000229,,"Saman Water-Based Wood Stain - Urban Grey 099 is a stain designed to enhance the natural appearance of wood while providing rich, consistent colour. Colour and sheen can vary with wood species, porosity and preparation, so a representative test area is recommended. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"wood stain, urban grey, 099, waterbased stain, interior wood finishing",Saman,SAMAN,https://github.com/GZToronto/steeles/blob/6e4195d5bba9319623e5fa48e91e9e292adeeb11/samanwaterbasedwoodstainurbangrey_stains_saman.png?raw=true,Image already existed,,,,,,,,,,
simple,Saman Waterbased Dead Flat Varnish,219,SA-000000220,,"Saman Waterbased Dead Flat Varnish is a protective varnish designed to provide durable protection and a long-lasting finish for wood surfaces. Colour and sheen can vary with wood species, porosity and preparation, so a representative test area is recommended. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"dead flat varnish, clear finish, protective coating, waterbased varnish",Saman,SAMAN,https://github.com/GZToronto/steeles/blob/b6d0bd3da3de81da00da8d8d93d611ff68943db3/samanwaterbaseddeadflatvarnish_stains_saman.png?raw=true,Image already existed,,,,,,,,,,
simple,Saman Waterbased Exterior Clear Coat ,216,SA-000000217,,"Saman Waterbased Exterior Clear Coat - Semi-Gloss is a protective clear coat designed to help shield exterior wood surfaces from weather, moisture, and UV exposure. The master lists Flat, Satin, or Semi-Gloss finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"exterior clear coat, wood protection, uv protection, semi-gloss, waterbased finish",Saman,SAMAN,https://github.com/GZToronto/steeles/blob/c6a935b1b841f9d3b17e1c08d38fa7345dba91ce/samanwaterbasedexteriorclearcoatsemigloss_stains_saman.png?raw=true,Image already existed,Finishes,Flat | Satin | Semi-Gloss,,,,,,,,
simple,Saman Waterbased Floor Varnish ,220,SA-000000221,,"Saman Waterbased Floor Varnish - Semi-Gloss is a protective varnish designed to provide durable protection and a long-lasting finish for wood surfaces. The master lists Flat, Satin, Semi-Gloss, or Gloss finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"floor varnish, waterbased varnish, hardwood floors, semi-gloss finish",Saman,SAMAN,https://github.com/GZToronto/steeles/blob/972246dfac51a294ed930875da7551fc0c9bb17f/samanwaterbasedfloorvarnishsemigloss_stains_saman.png?raw=true,Image already existed,Finishes,Flat | Satin | Semi-Gloss | Gloss,,,,,,,,
simple,Swing TSP Heavy Duty Cleaner,230,SW-000000231,,"Swing TSP Heavy Duty Cleaner is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering.",Previously Described,Painting Tools & Accessories > Paint Prep & Repairs,"tsp, surface cleaner, paint preparation, degreaser, heavy duty cleaner, biodegradable",Swing,MUM01,https://github.com/GZToronto/steeles/blob/76bc57d73715384a493bdb11dce2309c3b954a5e/swingtspheavydutycleaner_painttoolsaccessories_swing.png?raw=true,Image already existed,,,,,,,,,,
simple,Swing Wallpaper Pre-Coat Universal Primer Sealer,231,SW-000000232,,"Swing Wallpaper Pre-Coat Universal Primer Sealer is a primer designed to improve adhesion, create a uniform surface, and support better topcoat performance. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Paints > Primers,"wallpaper primer, primer sealer, wallpaper pre-coat, universal primer, tintable primer",Swing,MUM01,https://github.com/GZToronto/steeles/blob/7525d270bc40d2fd99181e0ec4e625dc34bf3737/swingwallpaperprecoatuniversalprimersealer_primer_swing.png?raw=true,Image already existed,,,,,,,,,,
simple,Swing Prime+ Universal Primer Sealer,232,SW-000000233,,"Swing Prime+ Universal Primer Sealer is a primer designed to improve adhesion, create a uniform surface, and support better topcoat performance. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Paints > Primers,"primer sealer, universal primer, prime plus, interior exterior primer, water based primer",Swing,MUM01,https://github.com/GZToronto/steeles/blob/732fc3e10158df5d88e01aef7cf11280c10b98db/swingprimeuniversalprimersealer_primer_swing.png?raw=true,Image already existed,,,,,,,,,,
simple,Circa 1850 Heavy Body Paint & Varnish Remover,233,CI-000000234,,"Circa 1850 Heavy Body Paint & Varnish Remover is a protective varnish designed to provide durable protection and a long-lasting finish for wood surfaces. Its role is to leave the surface ready for the next repair or coating step without assuming compatibility with every material. Test first, then follow the label for dilution, dwell time, rinsing, ventilation and protective equipment.",Previously Described,Painting Tools & Accessories > Cleaners & Removers,"paint remover, varnish remover, stripper, heavy body gel, surface restoration",Circa 1850,YHD01,https://github.com/GZToronto/steeles/blob/1e5d36f6ffdde312dfa7f0078d80148f0cc90388/circa1850heavybodypaintvarnishremover_painttoolsaccessories_circa1850.png?raw=true,Image already existed,,,,,,,,,,
simple,Circa 1850 Furniture Stripper,234,CI-000000235,,"Circa 1850 Furniture Stripper is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering.",Previously Described,Painting Tools & Accessories > Cleaners & Removers,"furniture stripper, paint remover, varnish remover, wood restoration, furniture refinishing",Circa 1850,YHD01,https://github.com/GZToronto/steeles/blob/473e5ac03a1cdc02609b70f5949aff440b1f5c57/circa1850furniturestripper_painttoolsaccessories_circa1850.png?raw=true,Image already existed,,,,,,,,,,
simple,Zeraus ZeraBrite CL-121 Polyaspartic Coating,235,ZE-000000236,,"Zeraus ZeraBrite CL-121 Polyaspartic Coating is designed to provide professional-quality performance, durability, and reliable results for painting, finishing, surface preparation, or coating applications. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Commercial & Industrial > Epoxy,"polyaspartic coating, uv resistant coating, clear topcoat, epoxy flooring, garage floor coating, industrial coating",Zeraus,ZPI01,https://github.com/GZToronto/steeles/blob/14be4ab822f6fb9fc33c9b0094c4ace4b6ff47a0/zerabritecl121polyasparticcoating_commercialpaint_zeraus.png?raw=true,Image already existed,,,,,,,,,,
simple,Zeraus ZeraBond Type 3 Epoxy Adhesive Gel,236,ZE-000000237,,"Zeraus ZeraBond Type 3 Epoxy Adhesive Gel is an epoxy coating designed to provide exceptional durability, abrasion resistance, and long-term surface protection. Check the current manufacturer label or technical data sheet before use. Confirm the exact item and package before ordering. Follow the current manufacturer instructions for the intended job.",Previously Described,Commercial & Industrial > Epoxy,"epoxy adhesive, concrete repair, crack filler, structural epoxy, bonding gel, epoxy repair",Zeraus,ZPI01,https://github.com/GZToronto/steeles/blob/0cc548cfe25aeb16379081fb0ea152320ebb99f0/zerabondtype3epoxyadhesivegel_commercialpaint_zeraus.png?raw=true,Image already existed,,,,,,,,,,
simple,Zeraus ZeraKlear SC Clear Epoxy Coating,237,ZE-000000238,,"Zeraus ZeraKlear SC Clear Epoxy Coating is an epoxy coating designed to provide exceptional durability, abrasion resistance, and long-term surface protection. The final appearance and service performance depend on the substrate, preparation, film build and complete coating system. Follow the label for component mixing, pot life, film thickness, application conditions and full cure before service.",Previously Described,Commercial & Industrial > Epoxy,"clear epoxy, epoxy coating, decorative flooring, flake floor coating, quartz flooring, countertop coating",Zeraus,ZPI01,https://github.com/GZToronto/steeles/blob/53eb9556fa09a8b03aa61d8da3b92f0877719011/zeraklearscclearepoxycoating_commercialpaint_zeraus.png?raw=true,Image already existed,,,,,,,,,,
simple,Zeraus ZeraDur 100 Epoxy Floor Coating,238,ZE-000000239,,"Zeraus ZeraDur 100 Epoxy Floor Coating is an epoxy coating designed to provide exceptional durability, abrasion resistance, and long-term surface protection. The final appearance and service performance depend on the substrate, preparation, film build and complete coating system. Follow the label for component mixing, pot life, film thickness, application conditions and full cure before service.",Previously Described,Commercial & Industrial > Epoxy,"epoxy floor coating, industrial flooring, garage floor coating, commercial flooring, concrete coating, chemical resistant coating",Zeraus,ZPI01,https://github.com/GZToronto/steeles/blob/8c43439c8e6464e1a33ad80385409828d6407cac/zeradur100epoxyfloorcoating_commercialpaint_zeraus.png?raw=true,Image already existed,,,,,,,,,,
simple,3M Super77 Spray Adhesive,239,3M-000000240,,"3M Super77 Spray Adhesive is a multipurpose aerosol adhesive for bonding lightweight materials such as paper, fabric, foam, cardboard, plastic, metal and wood. Apply to clean, compatible surfaces and follow the label for spray distance, open time, bonding, ventilation and cure. Confirm the exact item and package before ordering.",,Painting Tools & Accessories > Tools,"3m, 3m super77 spray adhesive, painting tools & accessories, tools",3M,3MC01,https://raw.githubusercontent.com/kinggoff/NewSteelesImages/main/review-images/3M-000000240-3m-super77-spray-adhesive.png?raw=true,Image Added,,,,,,,,,,
